rank,intersection_name,longitude,latitude,risk_score,percentile,in_top200
288,Fairmount Avenue & Wightman Street,-117.10091940000001,32.74789830000002,0.04157,99.6,False
289,7th Avenue & C Street,-117.1583424,32.716802000000015,0.041516,99.6,False
290,Bayside Lane & West Mission Bay Drive,-117.24997609999998,32.7721073,0.04149,99.6,False
291,Gleason Road & West Mission Bay Drive,-117.24688099999999,32.7712336,0.041478,99.6,False
292,Garnet Avenue & Soledad Mountain Road,-117.2238983,32.804992799999994,0.041423,99.6,False
293,Del Mar Heights Road & El Camino Real,-117.2341649,32.953844299999986,0.041418,99.6,False
294,6th Avenue & Broadway,-117.15927290000002,32.71571089999999,0.041417,99.6,False
295,9th Avenue & East Market Street,-117.156496,32.711509500000005,0.041393,99.6,False
296,J Street & Park Boulevard,-117.153807,32.70943079999999,0.041384,99.6,False
297,National Avenue & South 30th Street,-117.12948290000001,32.695962400000006,0.041378,99.6,False
298,Front Street & West B Street,-117.16473490000001,32.71777070000001,0.04137,99.6,False
299,India Street & Vine Street,-117.178238,32.73984100000001,0.041367,99.6,False
300,47th Street & East Market Street,-117.0935738,32.71141540000001,0.041349,99.6,False
301,Ocean View Boulevard & South 39th Street,-117.11037889999999,32.7012893,0.041343,99.6,False
302,Collwood Boulevard & Montezuma Road,-117.0860812,32.770110800000005,0.041216,99.6,False
303,Dwight Street & Fairmount Avenue,-117.10096619999999,32.7440235,0.041169,99.6,False
304,Bernardo Center Drive & Camino del Norte,-117.0924769,33.00517839999999,0.041067,99.6,False
305,Kemper Street & Sports Arena Boulevard,-117.2137727,32.754132799999994,0.041052,99.6,False
306,47th Street & Castana Street,-117.093643,32.706650000000025,0.04098,99.6,False
307,East Harbor Drive & Park Boulevard,-117.1575614,32.70506860000001,0.040899,99.6,False
308,54th Street & El Cajon Boulevard,-117.07942719999998,32.757773699999994,0.040864,99.6,False
309,West Point Loma Boulevard,-117.22867850000002,32.75258269999999,0.040832,99.6,False
310,University Avenue & Villa Terrace,-117.13571899999998,32.74845499999999,0.040817,99.6,False
311,Chamoune Avenue & Orange Avenue,-117.0965473,32.75314800000002,0.040816,99.6,False
312,Sea World Drive & Sunset Cliffs Boulevard,-117.2309525,32.761097099999986,0.040791,99.6,False
